protein_id,experiment,group,time_stamp,best_seq_1,best_seq_1_score,best_seq_2,best_seq_2_score,best_seq_3,best_seq_3_score
ths000441,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00044113,1.2453,ths00044104,1.2627,ths00044106,1.2866
thm001663,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00166305,1.2455,thm00166314,1.2465,thm00166302,1.2774
ths000315,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00031515,1.2457,ths00031500,1.2460,ths00031504,1.2496
ths000473,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00047314,1.2465,ths00047315,1.2569,ths00047300,1.2677
hsx015039,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,2026-08-18T20:01:45+00:00,hsx01503905,1.2497,hsx01503901,1.3395,hsx01503907,1.3804
shx011754,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01175401,1.2517,shx01175406,1.2995,shx01175410,1.3136
shs008094,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00809412,1.2538,shs00809404,1.2803,shs00809414,1.2863
shs008988,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00898815,1.2583,shs00898805,1.2817,shs00898800,1.2825
thm001315,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00131514,1.2589,thm00131515,1.2744,thm00131500,1.2807
ths000071,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00007103,1.2591,ths00007110,1.2619,ths00007111,1.2941
shm009107,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shmedium,2026-08-18T20:01:45+00:00,shm00910715,1.2593,shm00910702,1.2911,shm00910700,1.3226
thx003093,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thxlarge,2026-08-18T20:01:45+00:00,thx00309301,1.2675,thx00309302,1.2751,thx00309313,1.2871
thm001050,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00105012,1.2684,thm00105001,1.2747,thm00105011,1.2794
shs008550,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00855011,1.2752,shs00855005,1.2815,shs00855014,1.2922
shm009157,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shmedium,2026-08-18T20:01:45+00:00,shm00915703,1.2778,shm00915700,1.2790,shm00915708,1.2839
thm001106,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00110611,1.2836,thm00110603,1.2932,thm00110604,1.2942
thm001645,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00164500,1.2879,thm00164513,1.3244,thm00164502,1.3298
ths000001,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00000110,1.2895,ths00000108,1.2909,ths00000111,1.3089
ths000855,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00085501,1.3083,ths00085503,1.3282,ths00085500,1.3387
ths000576,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00057601,1.3115,ths00057605,1.3434,ths00057600,1.3452
thm001399,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00139905,1.3262,thm00139909,1.3835,thm00139903,1.4093
shm009359,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shmedium,2026-08-18T20:01:45+00:00,shm00935914,1.3291,shm00935903,1.3335,shm00935902,1.3505
ths000706,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00070600,1.3309,ths00070608,1.3358,ths00070605,1.3360
thm001975,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00197506,1.3385,thm00197515,1.3568,thm00197507,1.3927
shs008438,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00843814,1.4457,shs00843802,1.4611,shs00843809,1.4629
shs008738,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00873814,1.4527,shs00873809,1.5124,shs00873813,1.5228
shm009029,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shmedium,2026-08-18T20:01:45+00:00,shm00902902,1.5167,shm00902911,1.5201,shm00902906,1.5227
